,CrW,CrR,NiW,NiR,CuW,CuR,AsW,AsR,CdW,CdR,PbW,PbR,Station,Location,Station_ID,m_cdW,m_cdR
0,1.1842222222222223,1.0298888888888889,0.5051470588235294,0.28205882352941175,1.5544444444444445,0.8964444444444445,0.7015384615384614,0.6123076923076923,14.766666666666666,8.866666666666667,5.295,2.5364999999999998,S1,Dhaleshwari,DS1,4.0011698089492205,2.3706444193061844
1,1.1586666666666667,0.9822222222222223,0.3985294117647059,0.25308823529411767,1.6693333333333333,0.9235555555555556,1.0607692307692307,0.76,12.733333333333333,9.9,4.807,1.9449999999999998,S2,Dhaleshwari,DS2,3.637938662644545,2.460644335511983
2,0.9974444444444444,0.7435555555555555,0.8724999999999999,0.5517647058823529,1.5806666666666667,1.0993333333333333,2.013076923076923,1.1907692307692308,9.833333333333334,7.000000000000001,3.868,1.6395,S3,Dhaleshwari,DS3,3.1941702279202278,2.037487137590079
3,0.7949999999999999,0.6173333333333334,0.7230882352941177,0.38352941176470584,2.052,1.5504444444444443,1.9500000000000002,1.4438461538461538,7.866666666666666,5.966666666666667,4.524,2.17,S4,Dhaleshwari,DS4,2.9851258169934645,2.021970001675884
4,1.1127777777777779,0.7166666666666667,0.7452941176470588,0.45029411764705884,2.2271111111111113,1.6264444444444444,2.1823076923076923,1.6123076923076924,7.000000000000001,4.833333333333333,3.9549999999999996,2.6774999999999998,S5,Dhaleshwari,DS5,2.8704151164739398,1.986091042399866
5,0.9577777777777778,0.6705555555555556,0.34294117647058825,0.1723529411764706,4.203111111111111,2.184,1.0923076923076922,0.8015384615384615,5.0,2.7333333333333334,3.1719999999999997,1.8940000000000001,S6,Dhaleshwari,DS6,2.461356292944528,1.4092967152673035
6,1.1725555555555556,0.7707777777777778,0.3261764705882353,0.21985294117647058,2.494,2.1493333333333333,1.643846153846154,1.5292307692307692,4.533333333333334,3.2333333333333334,2.0275,1.6735,S7,Dhaleshwari,DS7,2.032901918887213,1.5960046924752807
7,0.20211111111111113,0.17444444444444443,1.1936764705882352,0.5994117647058823,2.2264444444444442,1.6415555555555557,0.9646153846153845,0.8738461538461538,12.3,7.233333333333333,11.6735,4.904999999999999,S8,Turag,TS8,4.760057901793195,2.5712652086475614
8,0.19066666666666668,0.14155555555555555,1.253235294117647,0.5798529411764706,2.3475555555555556,1.9377777777777778,1.0946153846153845,0.8292307692307692,17.133333333333333,12.0,12.505500000000001,8.52,S9,Turag,TS9,5.754151039048099,4.001402840623428
9,0.15066666666666667,0.12366666666666667,0.8469117647058824,0.6913235294117647,2.1922222222222225,1.795111111111111,1.5284615384615385,1.4538461538461538,9.666666666666666,9.3,10.89,5.43,S10,Turag,TS10,4.212488143120496,3.1323245768392827
10,1.0366666666666666,0.8274444444444444,1.0533823529411763,0.7344117647058823,3.9415555555555555,3.1422222222222222,0.9853846153846154,0.76,23.666666666666668,18.53333333333333,12.955000000000002,7.7700000000000005,S11,Buriganga,BuS11,7.273109309535781,5.29456862745098
11,1.3122222222222222,0.9646666666666666,1.1654411764705883,0.821764705882353,5.802222222222222,3.2866666666666666,0.716923076923077,0.6138461538461539,30.333333333333332,26.46666666666667,14.87,8.895,S12,Buriganga,BuS12,9.03335700519524,6.841435143288085
12,0.1901111111111111,0.11522222222222221,0.5795588235294117,0.43720588235294117,1.6700000000000002,1.254888888888889,0.5761538461538461,0.5130769230769231,7.7,6.533333333333333,3.2049999999999996,1.799,S13,Balu,BaS13,2.3201372967990617,1.7754545416457181
13,0.14333333333333334,0.10488888888888888,0.37911764705882356,0.32264705882352945,1.7682222222222221,1.1935555555555555,0.6561538461538461,0.5307692307692308,5.1000000000000005,3.833333333333333,2.9899999999999998,1.574,S14,Balu,BaS14,1.8394711747947043,1.2598656778950896
14,0.8892222222222222,0.5707777777777777,0.4132352941176471,0.24676470588235297,2.3377777777777777,1.5975555555555556,1.5907692307692307,1.2084615384615385,30.366666666666667,29.0,4.843500000000001,3.8259999999999996,S15,Shitalakshya,SS15,6.740195198592257,6.074926596279538
15,0.6903333333333334,0.4527777777777778,1.0473529411764706,0.6785294117647059,2.566222222222222,1.9013333333333333,1.5253846153846153,1.0707692307692307,49.766666666666666,33.86666666666667,9.52,4.9235,S16,Shitalakshya,SS16,10.85265996313055,7.148929403385285
16,0.6533333333333333,0.498,1.0225,0.7445588235294118,3.762,2.0295555555555556,1.6746153846153846,1.2184615384615385,42.333333333333336,31.400000000000002,10.5325,4.772,S17,Shitalakshya,SS17,9.996380341880341,6.777095986257751
