,Cr,Ni,Cu,As,Cd,Pb
0,92.69,19.18,40.34,7.96,2.66,50.73
1,88.4,17.21,41.56,9.88,2.97,38.9
2,66.92,37.52,49.47,15.48,2.1,32.79
3,55.56,26.08,69.77,18.77,1.79,43.4
4,64.5,30.62,73.19,20.96,1.45,53.55
5,60.35,11.72,98.28,10.42,0.82,37.88
6,69.37,14.95,96.72,19.88,0.97,33.47
7,15.7,40.76,73.87,11.36,2.17,98.1
8,12.74,39.43,87.2,10.78,3.6,170.4
9,11.13,47.01,80.78,18.9,2.79,108.6
10,74.47,49.94,141.4,9.88,5.56,155.4
11,86.82,55.88,147.9,7.98,7.94,177.9
12,10.37,29.73,56.47,6.67,1.96,35.98
13,9.44,21.94,53.71,6.9,1.15,31.48
14,51.37,16.78,71.89,15.71,8.7,76.52
15,40.75,46.14,85.56,13.92,10.16,98.47
16,44.82,50.63,91.33,15.84,9.42,95.44
