Stations,variation_2017-2018,variation_2018-2019,variation_2019-2020,variation_2020-2021,variation_2021-2022
S1,14.56886019764189,9.441846007041082,12.45960775241992,10.64710730060507,10.933738641374674
S2,12.361292841084067,8.71352046901996,12.524669090803942,10.150653143546998,10.545177870470104
S3,12.064360121736993,9.702091360577167,14.656331552580404,9.410580419428761,11.115006759150155
S4,23.072015672553515,17.2670984811792,21.462651177248773,14.400785073483165,14.33969970577817
S5,18.609892215049413,13.663423238464265,17.858614482653927,13.098473950163015,11.30223883294417
S6,14.372591826850092,9.960529454713694,9.68835618914054,7.786577122987616,10.040048868294164
S7,16.452024491979383,12.849072153024268,13.384201661232838,11.022294351952924,14.14849166130513
S8,25.319162009961616,14.18066087861723,16.07756034439135,16.11587424366194,13.471311564291447
S9,27.878422045673055,11.21982780432441,18.280971004330194,16.5346162465391,16.450759410399694
S10,18.191150212172253,8.78563011906225,14.282228856872283,11.731282214398798,12.797565260136917
S11,5.213581915839544,3.836269527437812,4.340494899913974,3.4213227692997226,5.106772885325777
S12,9.52516066536062,8.673218584409858,7.659346061258865,6.610051253876572,6.992286616882694
S13,22.288749448785882,11.668751039174156,13.365586889417411,15.095857038552458,16.70720951919671
S14,32.203916692570715,18.714893986163624,18.756099500473503,21.220659143648206,22.873759316422206
S15,28.720785651806175,16.246719824189807,20.441188164619646,20.57853987898591,22.43441455639011
S16,8.711532483680449,6.437096529339049,8.206403481504507,7.011624292457945,6.765475562238398
S17,9.138407153855606,7.2028323369309835,6.119199600957124,5.4315373994260145,6.252213892764456
