F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,Actual_AsR
0.15883657,-0.25859982,-0.5877572,0.10455568,-0.1222671,-0.4611396,0.06538563,-0.093529746,0.34206477,0.031100811,-0.10986486,-0.055065524,-0.36682692,-0.110075966,0.0,-0.07662717,-3.134,0.08097284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.96
-0.021873198,-0.5277523,-0.5661333,0.10455568,-0.29880178,0.34411484,0.07744034,-0.049158353,0.3632799,0.046296697,0.2055501,0.26046506,-0.046554063,-0.073885195,0.0,0.18243873,-2.6343498,-0.058829974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.88
0.42116797,0.05167028,-0.59377754,0.1536226,0.033970136,-0.11425097,0.07003723,-0.076183066,0.80221653,0.12197606,-0.071169235,-0.02091118,0.5302371,0.25316355,0.0,-0.032048825,1.2701826,0.0962123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.48
-0.42906475,-0.4205326,0.5677193,0.15808599,0.08316911,-0.09940153,0.11789998,-0.0810629,1.0562704,0.09703731,-0.071169235,-0.09528892,0.5054167,0.22160822,0.0,-0.17055473,1.2598631,0.0685651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.77
-0.23442787,0.55745614,4.889454,0.38437173,0.003445709,-0.09608843,0.28179294,-0.0370481,0.97565275,0.09306458,-0.035494346,-0.032151215,0.18384376,-0.047528118,0.0,0.21453103,1.1945359,0.038993366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.96
-0.114006154,0.23289114,0.033830427,-0.1739327,0.0038880422,0.3657578,-0.18288372,-0.08538784,0.37861934,0.038050294,-0.071169235,-0.055065524,0.28543925,-0.110878386,0.0,-0.104851395,-2.5319624,-0.050715238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.42
0.35282594,0.21404788,0.06872952,-0.10046387,-0.1443228,0.39227208,-0.2748111,-0.089546114,0.37861934,0.02672504,0.23767743,0.18355174,0.19956428,-0.07154778,0.0,0.13690759,-3.0307536,-0.050715238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.88
-0.4150866,-0.2501815,-0.8211188,-0.40364087,0.051039964,-0.15518425,0.08440777,-0.09582689,0.58394754,-0.13699168,-0.10986486,-0.10636926,-0.21891183,-0.101280846,0.0,0.07107827,0.89726037,-0.060641434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.36
-0.35768542,0.70380706,0.11511243,0.16864534,0.050918035,-0.12266468,-0.48027417,-0.03549706,-2.2765226,0.03801238,-0.10973087,-0.10636926,-0.21436514,0.02480804,0.0,0.119316585,0.7084001,-0.02863892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.78
0.43683842,0.78122085,0.71752477,0.39090553,0.12502347,-0.014942192,0.2915292,-0.0065310695,0.97565275,0.09411561,0.3662162,0.35456416,-0.147525,0.35944244,0.0,0.22264257,1.3957918,-0.02863892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.9
-0.40905872,-0.4985923,0.12507541,0.08684729,-0.065578096,-0.06099666,-0.17248192,-0.039482158,-2.37162,-0.053702775,-0.071303226,-0.078139514,0.4806233,-0.10582886,0.0,-0.10974053,0.62615585,0.032634657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.88
-0.5115184,-0.7154121,-0.62060905,-0.09586371,-0.13191192,-0.06638127,-0.08832131,-0.055954393,-1.9793799,0.027763449,-0.10986486,-0.078139514,-0.40032095,-0.12152945,0.0,-0.12237817,0.57919765,-0.060641434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.98
0.32696596,0.17303689,0.6495947,0.18674342,0.068283476,-0.12467151,0.19006447,-0.089446545,0.97565275,0.08085529,-0.071303226,-0.10636926,0.286984,-0.09609867,0.0,0.22264257,1.3957918,0.032634657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67
-0.12823944,-0.819593,-0.649469,0.10249062,0.041542925,-0.41886324,0.06538563,-0.09201125,0.35278997,-0.061494477,-0.061799023,-0.12944326,-0.4685859,-0.12152945,0.0,-0.13343517,-3.0316536,-0.07283301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9
0.37802878,-0.3142453,-0.6639009,0.1536226,0.15812796,0.16077153,0.082091935,0.19248965,0.8429724,-0.12701279,-0.023237385,0.4314775,0.5713954,-0.056894988,0.0,0.23628479,1.0295564,0.077571526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.71
0.42542595,0.47861743,-0.603379,-0.15251325,0.05335743,-0.11625781,-0.06410719,0.20487052,0.7278261,-0.12918161,-0.10986486,-0.10636926,-0.21886761,-0.10209843,0.0,-0.03998049,1.1610087,-0.059731845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.92
0.5920223,0.6875718,-0.53708017,-0.16588643,0.051039964,-0.008535313,-0.10580453,0.20377958,0.767688,0.087549895,0.3662162,-0.07221492,-0.14853942,0.26194352,0.0,-0.014102598,1.1987725,0.09507531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.84
